Pixel ID,Band center [Hz],Bandwidth [Hz],Saturation power [W],Optical power [W],Bias power [W],NEP photon [W/rt(Hz)],NEP thermal carrier [W/rt(Hz)]
LF1,40000000000.0,12000000000.0,8.949999999999999e-13,3.58e-13,5.37e-13,6.351199223474781e-18,4.38862118474312e-18
LF1,60000000000.0,13800000000.0,7.499999999999999e-13,3e-13,4.5e-13,6.0743173115066664e-18,4.017419740502182e-18
LF1,78000000000.0,17940000000.0,7.575e-13,3.0299999999999997e-13,4.5449999999999993e-13,6.446334263895736e-18,4.037456870988269e-18
LF2,50000000000.0,15000000000.0,9.65e-13,3.86e-13,5.790000000000001e-13,6.7411248402869195e-18,4.5570126506120124e-18
LF2,68000000000.0,15640000000.0,7.549999999999999e-13,3.02e-13,4.53e-13,6.235183310946281e-18,4.0307888947267465e-18
LF2,89000000000.0,20470000000.0,7.775e-13,3.11e-13,4.665e-13,6.791952853366935e-18,4.09040938721221e-18
LF3,68000000000.0,15640000000.0,9.175e-13,3.67e-13,5.505e-13,7.091946039112436e-18,4.443443005633965e-18
LF3,89000000000.0,20470000000.0,9.074999999999999e-13,3.6299999999999997e-13,5.445e-13,7.462442118937661e-18,4.419161714552401e-18
LF3,119000000000.0,35700000000.0,1.1225000000000001e-12,4.49e-13,6.735e-13,9.060997986226341e-18,4.9148441669931934e-18
LF4,78000000000.0,17940000000.0,9.175e-13,3.67e-13,5.505e-13,7.276748787809346e-18,4.443443005633965e-18
LF4,100000000000.0,23000000000.0,8.9e-13,3.56e-13,5.339999999999999e-13,7.628770622264799e-18,4.376345297242925e-18
LF4,140000000000.0,42000000000.0,1.1e-12,4.4e-13,6.6e-13,9.531643712762643e-18,4.865336919955874e-18
MF1,100000000000.0,23000000000.0,1.0274999999999998e-12,4.1099999999999997e-13,6.164999999999999e-13,8.315953297229107e-18,4.702269247797915e-18
MF1,140000000000.0,42000000000.0,1.1575e-12,4.63e-13,6.945000000000001e-13,9.803490248051846e-18,4.990879419817506e-18
MF1,195000000000.0,58500000000.0,9.65e-13,3.86e-13,5.790000000000001e-13,1.0239274406908937e-17,4.5570126506120124e-18
MF2,119000000000.0,35700000000.0,1.24e-12,4.96e-13,7.440000000000001e-13,9.591759060271762e-18,5.165679058362932e-18
MF2,166000000000.0,49800000000.0,1.04e-12,4.16e-13,6.24e-13,9.922903819765793e-18,4.730785393037354e-18
HF1,195000000000.0,58500000000.0,1.955e-12,7.82e-13,1.173e-12,1.493280586003526e-17,6.486194362494472e-18
HF1,280000000000.0,84000000000.0,1.215e-12,4.859999999999999e-13,7.289999999999999e-13,1.3636672595912624e-17,5.113340534487228e-18
HF2,235000000000.0,70500000000.0,1.5074999999999998e-12,6.03e-13,9.044999999999999e-13,1.4074963696483205e-17,5.695675496064274e-18
HF2,337000000000.0,101100000000.0,9.6e-13,3.84e-13,5.76e-13,1.3206450311691995e-17,4.5451915862108695e-18
HF3,402000000000.0,92460000000.0,7.249999999999999e-13,2.9e-13,4.3499999999999996e-13,1.2502504415585843e-17,3.949895271902459e-18
